AURAL2,,Convert to %R("AURAL2"):AURAL2,,Convert to Abs("Convert to %R("AURAL2"):AURAL2"):Convert to %R("AURAL2"):AURAL2,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),Abs,
2408,25.04250717,2408,25.04250717,2408,0.6013221741,
2407,25.01903534,2407,25.01903534,2407,0.6017294526,
2406,25.03892136,2406,25.03892136,2406,0.6013844013,
2405,25.01004601,2405,25.01004601,2405,0.6018854976,
2404,25.00927734,2404,25.00927734,2404,0.601898849,
2403,25.02579308,2403,25.02579308,2403,0.6016121507,
2402,24.98314476,2402,24.98314476,2402,0.6023528576,
2401,24.97488785,2401,24.97488785,2401,0.6024964452,
2400,24.92419243,2400,24.92419243,2400,0.6033788919,
2399,24.95048141,2399,24.95048141,2399,0.6029210687,
2398,24.94364929,2398,24.94364929,2398,0.6030399799,
2397,24.91043854,2397,24.91043854,2397,0.6036186218,
2396,24.93700027,2396,24.93700027,2396,0.6031557918,
2395,24.90012741,2395,24.90012741,2395,0.603798449,
2394,24.91237831,2394,24.91237831,2394,0.603584826,
2393,24.91078377,2393,24.91078377,2393,0.6036126018,
2392,24.89188957,2392,24.89188957,2392,0.6039421558,
2391,24.86738777,2391,24.86738777,2391,0.6043698192,
2390,24.89009285,2390,24.89009285,2390,0.6039734483,
2389,24.89390564,2389,24.89390564,2389,0.6039069891,
2388,24.84257889,2388,24.84257889,2388,0.6048033237,
2387,24.83044624,2387,24.83044624,2387,0.6050154567,
2386,24.84052086,2386,24.84052086,2386,0.604839325,
2385,24.8102417,2385,24.8102417,2385,0.6053690314,
2384,24.80402374,2384,24.80402374,2384,0.6054778695,
2383,24.78255844,2383,24.78255844,2383,0.6058538556,
2382,24.78593636,2382,24.78593636,2382,0.6057946682,
2381,24.78544044,2381,24.78544044,2381,0.6058033705,
2380,24.70559883,2380,24.70559883,2380,0.6072046161,
2379,24.75642204,2379,24.75642204,2379,0.6063120961,
2378,24.77149582,2378,24.77149582,2378,0.6060478091,
2377,24.74623299,2377,24.74623299,2377,0.6064909101,
2376,24.72498322,2376,24.72498322,2376,0.6068639755,
2375,24.73232841,2375,24.73232841,2375,0.6067349911,
2374,24.67922592,2374,24.67922592,2374,0.6076684594,
2373,24.68364334,2373,24.68364334,2373,0.607590735,
2372,24.66955566,2372,24.66955566,2372,0.6078386903,
2371,24.66793442,2371,24.66793442,2371,0.6078671813,
2370,24.64791298,2370,24.64791298,2370,0.608219862,
2369,24.61955643,2369,24.61955643,2369,0.6087197661,
2368,24.6300602,2368,24.6300602,2368,0.6085345149,
2367,24.62078285,2367,24.62078285,2367,0.6086981297,
2366,24.62947845,2366,24.62947845,2366,0.6085447669,
2365,24.60716057,2365,24.60716057,2365,0.6089385152,
2364,24.56770897,2364,24.56770897,2364,0.6096353531,
2363,24.6112442,2363,24.6112442,2363,0.6088664532,
2362,24.55976868,2362,24.55976868,2362,0.609775722,
2361,24.54831505,2361,24.54831505,2361,0.6099783182,
2360,24.49572754,2360,24.49572754,2360,0.6109096408,
2359,24.48778915,2359,24.48778915,2359,0.611050427,
2358,24.52175331,2358,24.52175331,2358,0.6104484797,
2357,24.49489021,2357,24.49489021,2357,0.6109244823,
2356,24.50385475,2356,24.50385475,2356,0.6107655764,
2355,24.46813202,2355,24.46813202,2355,0.6113991737,
2354,24.428442,2354,24.428442,2354,0.6121042371,
2353,24.43021774,2353,24.43021774,2353,0.6120726466,
2352,24.41596603,2352,24.41596603,2352,0.6123260856,
2351,24.36117172,2351,24.36117172,2351,0.6133018136,
2350,24.38101196,2350,24.38101196,2350,0.6129482985,
2349,24.38048744,2349,24.38048744,2349,0.6129575968,
2348,24.3723774,2348,24.3723774,2348,0.6131020784,
2347,24.37833786,2347,24.37833786,2347,0.6129959226,
2346,24.34288788,2346,24.34288788,2346,0.6136279106,
2345,24.33427811,2345,24.33427811,2345,0.6137815118,
2344,24.33896065,2344,24.33896065,2344,0.6136979461,
2343,24.28669548,2343,24.28669548,2343,0.6146315932,
2342,24.2976284,2342,24.2976284,2342,0.6144361496,
2341,24.26665306,2341,24.26665306,2341,0.6149901152,
2340,24.2669735,2340,24.2669735,2340,0.6149843931,
2339,24.27527428,2339,24.27527428,2339,0.6148358583,
2338,24.22924995,2338,24.22924995,2338,0.6156600118,
2337,24.19343567,2337,24.19343567,2337,0.6163024306,
2336,24.19365692,2336,24.19365692,2336,0.6162984967,
2335,24.18518448,2335,24.18518448,2335,0.6164506078,
2334,24.14009285,2334,24.14009285,2334,0.6172610521,
2333,24.16057587,2333,24.16057587,2333,0.6168926954,
2332,24.08925247,2332,24.08925247,2332,0.6181766391,
2331,24.09489632,2331,24.09489632,2331,0.6180749536,
2330,24.10712242,2330,24.10712242,2330,0.6178546548,
2329,24.06679153,2329,24.06679153,2329,0.6185818315,
2328,24.06117249,2328,24.06117249,2328,0.618683219,
2327,24.05070496,2327,24.05070496,2327,0.6188721657,
2326,24.0113678,2326,24.0113678,2326,0.6195831299,
2325,23.98048401,2325,23.98048401,2325,0.6201420426,
2324,24.00890541,2324,24.00890541,2324,0.6196276546,
2323,23.98215294,2323,23.98215294,2323,0.6201118231,
2322,23.95370865,2322,23.95370865,2322,0.6206272244,
2321,23.94518471,2321,23.94518471,2321,0.6207818389,
2320,23.88590813,2320,23.88590813,2320,0.6218582392,
2319,23.89150047,2319,23.89150047,2319,0.6217565536,
2318,23.85227013,2318,23.85227013,2318,0.6224702597,
2317,23.87573624,2317,23.87573624,2317,0.622043252,
2316,23.81444359,2316,23.81444359,2316,0.6231595278,
2315,23.7889328,2315,23.7889328,2315,0.6236250401,
2314,23.81669235,2314,23.81669235,2314,0.6231185198,
2313,23.73682022,2313,23.73682022,2313,0.6245774627,
2312,23.71578598,2312,23.71578598,2312,0.6249624491,
2311,23.75747108,2311,23.75747108,2311,0.6241998076,
2310,23.7235527,2310,23.7235527,2310,0.624820292,
2309,23.6645813,2309,23.6645813,2309,0.6259011626,
2308,23.69645691,2308,23.69645691,2308,0.6253165603,
2307,23.67209816,2307,23.67209816,2307,0.6257632375,
2306,23.64011955,2306,23.64011955,2306,0.6263503432,
2305,23.6101799,2305,23.6101799,2305,0.6269006729,
2304,23.63288307,2304,23.63288307,2304,0.6264833212,
