R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;T_ref;timestamp;;;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21
25,29427582;25,66971698;25,53247264;25,49229127;25,50133082;25,47405167;25,02733961;25,62082923;25,44723769;25,37520899;25,17305628;24,93691331;25,15543319;24,96924699;25,34077335;25,18597929;25,39152795;25,00576797;25,34376528;24,82918341;25,22742372;24,65028519;25;2025-04-14T15:20:03;;;0,643990635;1,019431793;0,882187455;0,84200608;0,851045634;0,823766485;0,377054423;0,970544047;0,796952508;0,724923808;0,52277109;0,286628124;0,505148003;0,318961808;0,690488169;0,535694101;0,741242769;0,355482782;0,693480095;0,178898226;0,577138531
25,25206083;25,71194681;25,53247264;25,49229127;25,4586928;25,47405167;25,02733961;25,62082923;25,40606095;25,33416701;25,17305628;24,93691331;25,15543319;24,96924699;25,37770653;25,22314732;25,35207734;25,00576797;25,38565371;24,82918341;25,26945311;24,65028519;25;2025-04-14T15:20:03;;;0,601775647;1,061661625;0,882187455;0,84200608;0,808407617;0,823766485;0,377054423;0,970544047;0,755775761;0,683881827;0,52277109;0,286628124;0,505148003;0,318961808;0,727421349;0,572862134;0,701792159;0,355482782;0,735368522;0,178898226;0,619167924
25,25206083;25,75416132;25,57414808;25,49229127;25,4586928;25,43184442;25,02733961;25,66492206;25,36487252;25,37520899;25,1339938;24,93691331;25,11010645;25,01002798;25,37770653;25,22314732;25,31261242;25,00576797;25,38565371;24,86873074;25,22742372;24,65028519;25;2025-04-14T15:20:04;;;0,601775647;1,103876132;0,923862891;0,84200608;0,808407617;0,781559233;0,377054423;1,014636877;0,714587334;0,724923808;0,483708615;0,286628124;0,459821268;0,359742793;0,727421349;0,572862134;0,662327231;0,355482782;0,735368522;0,218445556;0,577138531
25,25206083;25,75416132;25,57414808;25,49229127;25,41603493;25,43184442;25,02733961;25,66492206;25,40606095;25,37520899;25,1339938;24,97827993;25,11010645;24,96924699;25,37770653;25,18597929;25,31261242;25,00576797;25,34376528;24,86873074;25,22742372;24,65028519;25;2025-04-14T15:20:04;;;0,601775647;1,103876132;0,923862891;0,84200608;0,765749743;0,781559233;0,377054423;1,014636877;0,755775761;0,724923808;0,483708615;0,327994749;0,459821268;0,318961808;0,727421349;0,535694101;0,662327231;0,355482782;0,693480095;0,218445556;0,577138531
25,25206083;25,66971698;25,61580961;25,49229127;25,4586928;25,47405167;25,02733961;25,66492206;25,44723769;25,41623552;25,1339938;24,93691331;25,11010645;24,96924699;25,34077335;25,22314732;25,27313312;25,00576797;25,25994292;24,90826639;25,18537686;24,60896138;25;2025-04-14T15:20:05;;;0,643099456;1,060755602;1,006848237;0,883329889;0,849731426;0,865090294;0,418378232;1,055960686;0,838276317;0,807274143;0,525032423;0,327951933;0,501145077;0,360285617;0,731811978;0,614185943;0,664171744;0,396806591;0,650981544;0,299305017;0,576415478
25,25206083;25,66971698;25,61580961;25,44923764;25,50133082;25,47405167;25,02733961;25,70899652;25,44723769;25,33416701;25,05583863;24,93691331;25,15543319;24,96924699;25,34077335;25,18597929;25,27313312;24,96750071;25,25994292;24,86873074;25,14331247;24,60896138;25;2025-04-14T15:20:06;;;0,643099456;1,060755602;1,006848237;0,840276259;0,892369443;0,865090294;0,418378232;1,100035139;0,838276317;0,725205636;0,446877254;0,327951933;0,546471812;0,360285617;0,731811978;0,57701791;0,664171744;0,358539338;0,650981544;0,259769365;0,534351093
25,25206083;25,66971698;25,61580961;25,49229127;25,54394904;25,47405167;24,98667163;25,70899652;25,40606095;25,33416701;25,05583863;24,93691331;25,15543319;24,92845385;25,30382831;25,18597929;25,27313312;24,92922082;25,25994292;24,90826639;25,14331247;24,65028519;25;2025-04-14T15:20:07;;;0,601775647;1,019431793;0,965524429;0,84200608;0,893663854;0,823766485;0,336386442;1,05871133;0,755775761;0,683881827;0,405553445;0,286628124;0,505148003;0,27816866;0,653543126;0,535694101;0,622847936;0,278935637;0,609657735;0,257981208;0,493027284
25,25206083;25,66971698;25,61580961;25,49229127;25,50133082;25,43184442;25,02733961;25,66492206;25,40606095;25,33416701;25,05583863;24,93691331;25,20073709;24,92845385;25,30382831;25,11162919;25,27313312;24,92922082;25,3018617;24,86873074;25,18537686;24,65028519;25;2025-04-14T15:20:07;;;0,601775647;1,019431793;0,965524429;0,84200608;0,851045634;0,781559233;0,377054423;1,014636877;0,755775761;0,683881827;0,405553445;0,286628124;0,5504519;0,27816866;0,653543126;0,461344006;0,622847936;0,278935637;0,651576518;0,218445556;0,53509167
25,29427582;25,62747177;25,61580961;25,49229127;25,50133082;25,43184442;25,02733961;25,62082923;25,44723769;25,37520899;25,09492127;24,89553334;25,20073709;24,92845385;25,30382831;25,11162919;25,27313312;24,96750071;25,25994292;24,82918341;25,18537686;24,65028519;25;2025-04-14T15:20:08;;;0,643990635;0,97718658;0,965524429;0,84200608;0,851045634;0,781559233;0,377054423;0,970544047;0,796952508;0,724923808;0,444636082;0,245248155;0,5504519;0,27816866;0,653543126;0,461344006;0,622847936;0,31721553;0,609657735;0,178898226;0,53509167
25,29427582;25,66971698;25,61580961;25,44923764;25,4586928;25,43184442;25,06799346;25,62082923;25,44723769;25,37520899;25,09492127;24,93691331;25,24601821;24,92845385;25,26687136;25,11162919;25,31261242;24,96750071;25,25994292;24,82918341;25,18537686;24,69159471;25;2025-04-14T15:20:08;;;0,602681107;0,978122265;0,924214901;0,757642922;0,767098089;0,740249706;0,376398749;0,92923452;0,755642981;0,68361428;0,403326555;0,245318596;0,554423497;0,236859132;0,575276645;0,420034478;0,621017704;0,275906002;0,568348207;0,137588698;0,493782142
