R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R13,R14,R15,R16,R17,R18,R19,R20,R21,R25,PD25,PD26,PD27,PD28,PD29,PD30,Puissance estimée (W),T_ref,timestamp
43.08740630293681,47.90865258008199,48.717866605311485,45.797027654891394,45.25128536667745,48.96747226742758,46.1499298684364,45.99131213600725,47.86111071490723,46.20515348356122,44.138238700217414,42.82890427078024,44.77753416123102,43.77869842974508,42.35088359054515,46.43000055075862,45.18834320903352,41.819882959492816,46.69746801965073,44.39465394397121,44.04759566330682,30.824931834191602,0.002,0.002,0.002,0.005,0.071,0.037,22.693287760667367,30.824931834191602,2025-04-17T11:21:42
43.0085846433098,47.78713015182035,48.51359170842704,45.71593037372145,45.21271313578285,48.88456306729654,46.07123152010138,45.86905801916407,47.7370158521004,46.088201485601644,44.02071228725043,42.70900466097498,44.697069853128085,43.61876392521941,42.243542495454165,46.26806400271772,45.07521915988286,41.74617443558566,46.53692963583774,44.3166376790935,43.969664741598194,30.824931834191602,0.002,0.002,0.001,0.004,0.071,0.037,22.58958219950275,30.824931834191602,2025-04-17T11:21:42
42.929768954718554,47.74663604533515,48.431944408299955,45.59431266644265,45.17414129100763,48.76026902000223,45.953236527430136,45.82831036223837,47.61301597603489,45.97129701658747,43.98155436113694,42.62909535568656,44.6568341028057,43.538836641260275,42.136246679616875,46.14677983201875,44.96214350379722,41.67248315341567,46.45669703077772,44.2386521198336,43.8917406903081,30.78497775622401,0.002,0.004,0.001,0.004,0.071,0.038,22.484086985053573,30.78497775622401,2025-04-17T11:21:42
42.929768954718554,47.625193309239194,48.35033244072031,45.51325258330695,45.05842774373497,48.677452355947764,45.874607788519256,45.787564504255556,47.530401617334974,45.85443911735757,43.86413268994738,42.549204722355796,44.536112062068014,43.45893560416437,42.10049131585663,46.06600317209569,44.88678615698797,41.59880884335331,46.37648842269925,44.121730706307574,43.85278115541308,30.74501649796605,0.001,0.005,0.001,0.004,0.071,0.039,22.430482030476288,30.74501649796605,2025-04-17T11:21:43
42.85095895718797,47.544264096576455,48.26875549156864,45.432206874118776,44.98128670509254,48.553295611032524,45.79600637750383,45.70607804419103,47.406557601973816,45.776559250364585,43.825009376545324,42.46933246772812,44.455618039277056,43.33913260829172,42.0647408512894,45.98528966591306,44.77378908206083,41.561977968655015,46.29630351636462,44.0438206164722,43.774866895835316,30.74501649796605,0.001,0.006,0.001,0.003,0.071,0.039,22.275182680302162,30.74501649796605,2025-04-17T11:21:43
42.81155600507833,47.50380916138073,48.187213247299724,45.310664630575445,44.94271648472801,48.42921980991031,45.71743200021575,45.624598357163336,47.32404613244,45.698699372085,43.74678838984357,42.38947829872791,44.375113571415,43.29921107648522,42.02899525299915,45.944956486144235,44.73613363788678,41.488328611609575,46.216142016888284,43.96594019769964,43.65800701821422,30.705048016974047,0.002,0.006,0.001,0.004,0.07,0.038,22.169978471138766,30.705048016974047,2025-04-17T11:21:43
42.772154370742726,47.42291844637214,48.14645504166856,45.229653594724596,44.82700662381177,48.3465470471491,45.599620480018245,45.58386096549356,47.241575250113954,45.58194641441378,43.70769064151648,42.30964192245227,44.25433669347228,43.179484360203105,41.99325448808554,45.904638963741206,44.62319756557429,41.4146955534099,46.17606995266499,43.88808915536663,43.58010770807243,30.665072270745895,0.001,0.006,0.002,0.003,0.07,0.038,22.116571635074532,30.665072270745895,2025-04-17T11:21:44
42.69335491540113,47.34205302298017,48.06496426806416,45.18915310673685,44.749867053612604,48.263909464065534,45.48186813503116,45.461658175347054,47.159144631117385,45.50413527021385,43.590447927072944,42.18992007908025,44.214072218509784,43.1395879571582,41.95751852366385,45.824050716863894,44.58556218018941,41.37788505230958,46.09594301132,43.77136702922752,43.50221389827527,30.665072270745895,0.002,0.004,0.001,0.004,0.07,0.037,22.013205821468517,30.665072270745895,2025-04-17T11:21:44
42.614560311169214,47.30162970239729,47.983507417943486,45.10816201071441,44.71129727070661,48.181306743544155,45.4426303326224,45.38019711728418,47.0767539521986,45.387454089451296,43.512327852163594,42.11012690424212,44.093261772538426,43.05981368164214,41.88606086483276,45.74352457756993,44.47268545903171,41.34107852506094,46.055888060689995,43.69358814173597,43.4243253149005,30.665072270745895,0.002,0.004,0.002,0.004,0.07,0.037,21.90988361510476,30.665072270745895,2025-04-17T11:21:45
42.53577027803482,47.26121259287527,47.902084179713825,45.02718384818411,44.63415754437773,48.09873856902806,45.32495535160609,45.38019711728418,46.99440289072504,45.27081470546523,43.43424081643013,42.030350498237055,44.012706951991504,42.980063866022306,41.814622013730286,45.622851062178825,44.39745849747311,41.230682450492964,45.975795015898996,43.57697287241518,43.385382897525915,30.665072270745895,0.002,0.004,0.002,0.004,0.071,0.037,21.80660462002344,30.665072270745895,2025-04-17T11:21:45
42.496376888119016,47.13999815848416,47.780011664387814,44.98669952709798,44.55701738412682,48.05746733774902,45.207337243796076,45.298741705697466,46.87094987696946,45.19307786720117,43.35618652157052,41.95059056886089,43.93214019618517,42.90033821350437,41.743201707816525,45.58265723585947,44.322250564546266,41.193891482769516,45.895724201815426,43.49926430728772,43.34644168404395,30.705048016974047,0.002,0.003,0.002,0.004,0.071,0.037,21.70497822172271,30.705048016974047,2025-04-17T11:21:45
42.417593186553574,47.09960552113324,47.739337295259304,44.905740225605996,44.47987652603649,47.933704594534674,45.128956282410854,45.21729165908437,46.82981833263483,45.15421616788808,43.278164669718365,41.87084682404753,43.85156123341119,42.82063642757231,41.67179968478308,45.46216719045151,44.2470613862115,41.15710432100644,45.81567532521757,43.421583359382396,43.26856273181272,30.705048016974047,0.003,0.003,0.002,0.005,0.071,0.038,21.550171701866894,30.705048016974047,2025-04-17T11:21:46
42.378202804883074,46.978463611497205,47.617363053563736,44.78432408630567,44.40273470614119,47.81001745057836,45.01143077868062,45.09512603280814,46.70648151920756,45.076506033226565,43.2391658169542,41.79111897186243,43.77096979171222,42.701127850560226,41.63610544743659,45.34181339421855,44.13431218476353,41.1203209316547,45.73564809319697,43.34392973685573,43.22962492459186,30.705048016974047,0.003,0.004,0.003,0.004,0.071,0.039,21.39545974405564,30.705048016974047,2025-04-17T11:21:46
42.299424804696116,46.938094852118866,47.495461298726866,44.74385797971331,44.364163353013,47.6864048452407,44.97226771571519,45.01368816732435,46.62430475989038,44.99881334980023,43.122217105707875,41.751260914310365,43.69036559887542,42.621484435601076,41.564730357384974,45.2616526536861,44.13431218476353,41.08354128117429,45.65564221315253,43.26630314823592,43.112817767678564,30.665072270745895,0.003,0.003,0.003,0.004,0.071,0.037,21.290844003048754,30.665072270745895,2025-04-17T11:21:46
42.299424804696116,46.7766782126734,47.41423321825181,44.66293446097734,44.32559166042182,47.60403732944542,44.93311064475051,44.93225468185693,46.54216585427798,44.95997346458779,43.04429079993457,41.671556353962785,43.60974838242714,42.58167130816486,41.49337289541347,45.18155161418076,44.05916869572377,41.00999306271257,45.57565739278374,43.22749990065603,43.03495120799607,30.705048016974047,0.002,0.025,0.103,0.137,0.118,0.051,21.13781301706895,30.705048016974047,2025-04-17T11:21:47
