R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;PD25;PD26;PD27;PD28;PD29;PD30;Puissance estimée (W);T_ref;timestamp
23,96400956;24,59919504;24,51820498;24,00847223;24,28792792;24,31768818;23,74631096;24,32539323;24,23655729;24,0848181;23,82560009;23,38075781;23,53758252;23,43559371;24,21973738;24,24650814;24,11296761;23,7645665;24,15344599;23,70742163;23,90312363;22,20661437;0;0,001;0,001;0,005;0,038;0,039;2,992718788;22,20661437;2025-04-18T13:17:17
23,96400956;24,55628726;24,51820498;24,05236788;24,24444543;24,31768818;23,70492584;24,32539323;24,23655729;24,04301569;23,78592752;23,33858806;23,53758252;23,43559371;24,21973738;24,20898043;24,11296761;23,7645665;24,15344599;23,70742163;23,90312363;22,20661437;0,001;0;0,001;0,002;0,038;0,038;2,939048329;22,20661437;2025-04-18T13:17:17
23,92098236;24,59919504;24,47590853;24,05236788;24,24444543;24,31768818;23,70492584;24,28044924;24,19476761;24,0011958;23,78592752;23,38075781;23,49112716;23,43559371;24,21973738;24,20898043;24,07278954;23,7645665;24,15344599;23,70742163;23,90312363;22,20661437;0,001;0;0,001;0,003;0,037;0,038;2,992718788;22,20661437;2025-04-18T13:17:18
23,92098236;24,55628726;24,47590853;24,00847223;24,24444543;24,31768818;23,70492584;24,28044924;24,19476761;24,0011958;23,74624303;23,33858806;23,49112716;23,43559371;24,18218764;24,1714469;24,07278954;23,7645665;24,15344599;23,66727109;23,8602447;22,20661437;0;0,001;0,001;0,003;0,038;0,038;2,939048329;22,20661437;2025-04-18T13:17:18
23,87793622;24,55628726;24,47590853;24,00847223;24,24444543;24,31768818;23,70492584;24,28044924;24,19476761;23,95935836;23,74624303;23,33858806;23,49112716;23,39405983;24,21973738;24,1714469;24,07278954;23,7645665;24,15344599;23,66727109;23,8602447;22,20661437;0;0,001;0,001;0,003;0,038;0,038;2,939048329;22,20661437;2025-04-18T13:17:18
23,87793622;24,55628726;24,43359655;24,05236788;24,24444543;24,31768818;23,74631096;24,28044924;24,19476761;23,95935836;23,74624303;23,33858806;23,49112716;23,39405983;24,18218764;24,1714469;24,07278954;23,7645665;24,15344599;23,66727109;23,8602447;22,20661437;0;0,001;0,001;0,003;0,038;0,037;2,939048329;22,20661437;2025-04-18T13:17:19
23,87793622;24,55628726;24,43359655;24,00847223;24,24444543;24,31768818;23,70492584;24,28044924;24,19476761;23,95935836;23,78592752;23,29640263;23,49112716;23,39405983;24,21973738;24,1714469;24,07278954;23,7645665;24,15344599;23,62710717;23,8602447;22,20661437;0;0,001;0,001;0,003;0,038;0,037;2,939048329;22,20661437;2025-04-18T13:17:19
23,87793622;24,55628726;24,43359655;24,00847223;24,28792792;24,31768818;23,74631096;24,28044924;24,19476761;24,0011958;23,74624303;23,29640263;23,49112716;23,35251152;24,21973738;24,1714469;24,03259523;23,7645665;24,15344599;23,5869298;23,8602447;22,20661437;0;0,001;0,001;0,003;0,038;0,037;2,939048329;22,20661437;2025-04-18T13:17:19
23,87793622;24,5133624;24,43359655;24,00847223;24,28792792;24,31768818;23,74631096;24,23548471;24,15296454;24,0011958;23,78592752;23,29640263;23,49112716;23,35251152;24,21973738;24,1714469;24,03259523;23,72563384;24,11083684;23,5869298;23,8602447;22,16410201;0;0,001;0;0,003;0,038;0,037;2,93853236;22,16410201;2025-04-18T13:17:20
23,87793622;24,5133624;24,39126897;23,96455788;24,28792792;24,36053914;23,74631096;24,23548471;24,15296454;23,95935836;23,70654657;23,25420145;23,49112716;23,31094874;24,18218764;24,1714469;24,03259523;23,72563384;24,11083684;23,5869298;23,81734614;22,16410201;0;0,001;0,001;0,003;0,038;0,037;2,93853236;22,16410201;2025-04-18T13:17:20
23,83487106;24,5133624;24,39126897;23,96455788;24,24444543;24,31768818;23,74631096;24,19049958;24,15296454;24,0011958;23,70654657;23,25420145;23,49112716;23,31094874;24,21973738;24,1339075;24,03259523;23,72563384;24,11083684;23,5869298;23,81734614;22,16410201;0;0,001;0,001;0,003;0,038;0,038;2,93853236;22,16410201;2025-04-18T13:17:20
23,87793622;24,55628726;24,39126897;23,96455788;24,24444543;24,36053914;23,74631096;24,19049958;24,11114801;24,0011958;23,70654657;23,25420145;23,49112716;23,31094874;24,21973738;24,1714469;24,03259523;23,68668672;24,06821066;23,54673894;23,81734614;22,16410201;0;0,001;0,001;0,002;0,038;0,038;2,992224194;22,16410201;2025-04-18T13:17:21
23,87793622;24,5133624;24,39126897;23,96455788;24,24444543;24,31768818;23,74631096;24,19049958;24,15296454;24,0011958;23,6668381;23,21198447;23,44464615;23,31094874;24,21973738;24,1714469;24,03259523;23,64772508;24,06821066;23,50653452;23,81734614;22,20661437;0;0,001;0,002;0,002;0,038;0,038;2,885356495;22,20661437;2025-04-18T13:17:21
23,87793622;24,5133624;24,39126897;23,96455788;24,24444543;24,36053914;23,74631096;24,19049958;24,15296454;24,0011958;23,6668381;23,21198447;23,44464615;23,26937141;24,18218764;24,1714469;24,03259523;23,64772508;24,0255674;23,50653452;23,81734614;22,16410201;0;0,001;0,002;0,002;0,038;0,038;2,93853236;22,16410201;2025-04-18T13:17:21
