temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
86.276,NIR,981.0,1.147170287519113
86.84,NIR,963.0,1.3376382803572449
87.369,NIR,977.0,1.6279788534562059
87.907,NIR,972.0,1.8675488813079149
88.439,NIR,970.0,2.0900812275112655
88.985,NIR,973.0,2.317084441197197
89.519,NIR,978.0,2.6244142911716044
90.065,NIR,978.0,2.6244142911716044
90.587,NIR,973.0,2.548993859729065
91.122,NIR,973.0,2.548993859729065
91.657,NIR,973.0,2.548993859729065
92.191,NIR,976.0,2.5728714707308193
92.708,NIR,976.0,2.5728714707308193
93.268,NIR,978.0,2.56736482433043
93.8,NIR,974.0,2.5613108165331027
94.341,NIR,967.0,2.563728348010433
94.87,NIR,967.0,2.563728348010433
95.408,NIR,967.0,2.563728348010433
95.939,NIR,967.0,2.563728348010433
96.478,NIR,967.0,2.586546305220704
97.006,NIR,967.0,2.594703838982773
97.544,NIR,967.0,2.586546305220704
98.084,NIR,967.0,2.586546305220704
98.613,NIR,970.0,2.595016451217258
99.15,NIR,970.0,2.595016451217258
99.688,NIR,973.0,2.5853135824192544
100.218,NIR,973.0,2.5853135824192544
100.755,NIR,973.0,2.5853135824192544
101.294,NIR,973.0,2.5853135824192544
101.826,NIR,973.0,2.5853135824192544
102.366,NIR,973.0,2.5853135824192544
102.888,NIR,980.0,2.6025597631475805
103.429,NIR,973.0,2.5853135824192544
103.973,NIR,967.0,2.563728348010433
104.504,NIR,981.0,2.6241651701001047
105.035,NIR,967.0,2.571885881772502
105.573,NIR,967.0,2.571885881772502
106.105,NIR,967.0,2.5793472720570527
106.636,NIR,967.0,2.5793472720570527
107.175,NIR,967.0,2.5793472720570527
107.692,NIR,967.0,2.5793472720570527
108.244,NIR,967.0,2.5793472720570527
108.774,NIR,967.0,2.5793472720570527
109.319,NIR,975.0,2.5761318531279414
109.841,NIR,967.0,2.5793472720570527
110.381,NIR,967.0,2.5793472720570527
110.921,NIR,967.0,2.5793472720570527
111.451,NIR,967.0,2.5793472720570527
111.994,NIR,967.0,2.5793472720570527
112.532,NIR,967.0,2.5793472720570527
113.062,NIR,967.0,2.5793472720570527
113.593,NIR,967.0,2.5793472720570527
114.124,NIR,967.0,2.5711897382949838
114.629,NIR,967.0,2.5786511285795344
115.201,NIR,967.0,2.5786511285795344
115.727,NIR,967.0,2.5786511285795344
116.269,NIR,967.0,2.5786511285795344
116.797,NIR,967.0,2.5711897382949838
117.34,NIR,967.0,2.5711897382949838
117.868,NIR,967.0,2.5711897382949838
118.403,NIR,967.0,2.5711897382949838
118.937,NIR,967.0,2.5711897382949838
119.47,NIR,967.0,2.5711897382949838
120.006,NIR,967.0,2.5711897382949838
120.539,NIR,963.0,2.5759703281838466
121.07,NIR,967.0,2.5630322045329152
121.604,NIR,967.0,2.578388771458635
122.138,NIR,970.0,2.5488258563466273
122.679,NIR,967.0,2.578388771458635
123.213,NIR,967.0,2.5555708142483646
123.782,NIR,967.0,2.5630322045329152
124.283,NIR,967.0,2.5410522821641335
124.808,NIR,967.0,2.5410522821641335
125.349,NIR,973.0,2.52576355359752
125.888,NIR,975.0,2.5528498700895734
126.422,NIR,975.0,2.5528498700895734
126.955,NIR,973.0,2.5853135824192544
127.486,NIR,973.0,2.5853135824192544
128.03,NIR,975.0,2.560393863430444
128.564,NIR,977.0,2.572722064020051
129.073,NIR,977.0,2.572722064020051
129.609,NIR,977.0,2.617581691989856
130.164,NIR,977.0,2.617581691989856
130.7,NIR,977.0,2.617581691989856
131.232,NIR,977.0,2.617581691989856
131.763,NIR,977.0,2.617581691989856
132.316,NIR,977.0,2.617581691989856
132.84,NIR,977.0,2.617581691989856
133.371,NIR,977.0,2.617581691989856
133.905,NIR,967.0,2.571885881772502
134.44,NIR,967.0,2.571885881772502
134.984,NIR,967.0,2.571885881772502
135.519,NIR,967.0,2.571885881772502
136.054,NIR,967.0,2.571885881772502
136.588,NIR,967.0,2.5793472720570527
137.119,NIR,967.0,2.563728348010433
137.648,NIR,967.0,2.5566712062107526
138.186,NIR,967.0,2.5711897382949838
138.711,NIR,967.0,2.563728348010433
139.232,NIR,967.0,2.563728348010433
139.793,NIR,967.0,2.5711897382949838
140.331,NIR,967.0,2.5711897382949838
