R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R13,R14,R15,R16,R17,R18,R19,R20,R21,R25,PD25,PD26,PD27,PD28,PD29,PD30,Puissance estimée (W),T_ref,timestamp
38.39853850854939,41.806659089954906,40.633923822234465,37.31042249959239,39.80125714455016,40.931985966185096,37.36730518967795,39.6758302254097,39.62590702124112,37.30867020092154,37.115755008006204,37.104827874127466,37.258496434222934,35.55092260595495,38.22549221571967,39.97209709682727,37.672105337880794,38.11373662461119,41.00231262419857,37.30941753787772,39.842355068389,25.80207753716917,0.002,0.001,0.001,0.003,0.063,0.032,20.019058301288517,25.80207753716917,2025-04-17T11:02:13
38.35906159846445,41.68693016338523,40.55430885056205,37.18879342860981,39.68470601621516,40.810919783541465,37.251297483168344,39.553180302387716,39.465866777181475,37.231315101503924,36.96305289761881,36.98586617626995,37.17595653705138,35.472161637135684,38.15467070753408,39.85688737411323,37.63480568405873,38.003979448676375,40.84380790428577,37.23302404219476,39.72542282054559,25.760887919478478,0.002,0.002,0.001,0.003,0.063,0.032,19.92081874418384,25.760887919478478,2025-04-17T11:02:13
38.28009968274961,41.6071166441879,40.47470013285891,37.14824271889802,39.60698325242237,40.730218236329904,37.21262617004578,39.51228968369037,39.38586339822865,37.192633505311505,36.92488283995664,36.90655585574797,37.052078701666005,35.43277979238758,38.08385440778426,39.818503194822654,37.597504684057185,37.930812566963766,40.76456122822128,37.15663505542551,39.686441376675134,25.80207753716917,0.002,0.002,0.001,0.003,0.063,0.032,19.769464030909347,25.80207753716917,2025-04-17T11:02:14
38.20112673086186,41.52730740279594,40.39509737975658,37.06712954372142,39.568115162680726,40.68987012492295,37.13528021187227,39.43049725970519,39.30587078804189,37.15394916361345,36.886714899316644,36.787585851045094,36.96944769271937,35.393396990866734,38.04844813044673,39.74176320859709,37.52289850882096,37.85764902843823,40.6853179604899,37.080250295647204,39.56948447119305,25.760887919478478,0.001,0.002,0.001,0.003,0.062,0.032,19.721157332236878,25.760887919478478,2025-04-17T11:02:14
38.12214245194059,41.487404296703005,40.3552981494862,36.98600044194927,39.49036539328824,40.64952373934557,37.09660549492531,39.38959538097993,39.225888651630896,37.07657210000838,36.81038522715204,36.70826906586967,36.928118334322676,35.354013195135735,37.9776391595604,39.665060808029295,37.44828653861856,37.78448856560078,40.606077815290234,37.0038694808037,39.4525079688417,25.760887919478478,0.001,0.002,0.001,0.003,0.062,0.032,19.671245211470563,25.760887919478478,2025-04-17T11:02:14
38.08264597384584,41.40760093453963,40.31550030182456,36.94542982388049,39.41259727141522,40.609179042866515,37.019252405433406,39.30778010628319,39.185901418898936,37.03787930619495,36.772223424636024,36.628949175139724,36.886779687272906,35.27524247118356,37.90683475196147,39.588395700520266,37.37366849962967,37.74790940394087,40.52684050672889,36.92749232869937,39.33551092204982,25.719685299212927,0.0,0.002,0.002,0.003,0.062,0.032,19.62296213078039,25.719685299212927,2025-04-17T11:02:15
37.964138747666084,41.3278011334437,40.27570380058194,36.9048551104508,39.33481051756337,40.568835998750956,36.94189420175621,39.266866636723876,39.10593443997891,36.99918362306272,36.695905709208944,36.58928797226264,36.804074368791476,35.23585546797665,37.83603464946913,39.51176759390023,37.2990441177609,37.63817579642148,40.44760574881468,36.88930503794842,39.257501008669124,25.67846962379599,0.001,0.002,0.002,0.003,0.063,0.031,19.574699834204598,25.67846962379599,2025-04-17T11:02:15
37.92463028667743,41.24800460659344,40.235908609564376,36.86427626369266,39.25700485179817,40.528494570260534,36.90321309200641,39.18502784902222,39.06595462002207,36.96048501459717,36.619595609803696,36.54962588144406,36.76270761801885,35.1176874430426,37.80063613193522,39.43517619642199,37.22441311863906,37.601599108141215,40.3683732554519,36.81293285051453,39.14046761136973,25.637240840541835,0.001,0.002,0.002,0.003,0.063,0.031,19.526458028878224,25.637240840541835,2025-04-17T11:02:16
37.8456040671133,41.088420227926974,40.11653053584661,36.82369324560722,39.17917999374242,40.44781641318207,36.82584667633125,39.10317301735989,38.98600213467171,36.84437127668264,36.50514411892067,36.430633908999255,36.679945734665466,34.99950810586222,37.69444632668632,39.320357292672725,37.14977522760546,37.49187211705765,40.249528135333776,36.77474788318847,39.062432583815394,25.67846962379599,0.001,0.003,0.002,0.004,0.063,0.031,19.275274304836703,25.67846962379599,2025-04-17T11:02:16
37.76656520688351,40.96873840431874,40.07674022368792,36.7831060181648,39.101335662569795,40.407479611096846,36.78716129820572,39.06223949275142,38.90605894277894,36.8056606062392,36.46699712196198,36.39096789397621,36.59714574329388,34.96011230402132,37.623657589622155,39.24385639437406,37.07513016970927,37.41872301599682,40.20991391743894,36.736563619677554,38.945360192538544,25.67846962379599,0.003,0.002,0.002,0.005,0.063,0.03,19.12557233377825,25.67846962379599,2025-04-17T11:02:16
