R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R13,R14,R15,R16,R17,R18,R19,R20,R21,R25,PD25,PD26,PD27,PD28,PD29,PD30,Puissance estimée (W),T_ref,timestamp
40.99987680551567,44.24493560636222,43.14664985923832,39.97949350617654,42.51172980065445,43.80451844245994,40.035056148867056,42.81559949149067,42.516891909045114,40.12720785238014,40.06511317787499,38.73069259424204,40.57458179627321,38.74117860482448,40.21165572591673,41.983685331681386,39.75978541890697,39.76168165087563,42.66807862633539,39.22154296977919,41.205526565896264,29.019278402276143,0.003,0.003,0.002,0.004,0.067,0.035,19.04475404363065,29.019278402276143,2025-04-17T11:15:52
40.9211186836381,44.16483392147717,43.02671556706849,39.939122459681585,42.43447399622403,43.72334939203745,39.919003294357594,42.73417784850699,42.476573363381874,40.05005458015086,39.94975052347348,38.65135970324059,40.49325268598119,38.66231823050674,40.14058371036339,41.866832906613524,39.68522919240587,39.68835447466682,42.50928093580592,39.10665093835405,41.12766881789054,29.019278402276143,0.005,0.004,0.002,0.005,0.067,0.035,18.94456021510371,29.019278402276143,2025-04-17T11:15:52
40.881739090951044,44.08474568903125,42.9467784680225,39.89875005706335,42.35721019818811,43.682771613438774,39.88032182452281,42.69346572810798,42.395952862357376,40.011477751535665,39.872866734493755,38.65135970324059,40.41189951539036,38.58346609264942,40.06952412454598,41.78898863536159,39.610675020475185,39.61503704287128,42.390208216682595,39.06835933717025,41.049807922540765,28.97895830861563,0.004,0.004,0.002,0.006,0.067,0.036,18.894816915895728,28.97895830861563,2025-04-17T11:15:53
40.80297866584323,44.00467062124136,42.86685630654131,39.85837626203835,42.24129892798595,43.561064819654575,39.84164170357576,42.57132374662672,42.315354232770574,39.97290074831909,39.83443212734346,38.57203091682146,40.37121381748608,38.50462190025962,39.998476709955526,41.711189882292274,39.573398621054935,39.54172908895225,42.310838034986375,39.03007054883557,40.97194360366797,28.97895830861563,0.004,0.004,0.002,0.005,0.067,0.035,18.794656380909018,28.97895830861563,2025-04-17T11:15:53
40.72421635265846,43.92460843045501,42.78694879218449,39.777624349558835,42.20265755122921,43.43939706165207,39.764285367644675,42.53060776135732,42.23477717605476,39.89574607922327,39.75757730973521,38.49270594292028,40.28982401618498,38.386369872691205,39.9274412081765,41.672307479324616,39.53612263456233,39.46843034640028,42.2711563264686,38.991784538274146,40.89407558492559,28.93862906177918,0.004,0.004,0.002,0.005,0.067,0.035,18.74495710456171,28.93862906177918,2025-04-17T11:15:53
40.6848343998368,43.88458207408115,42.70705563463787,39.73724615946122,42.1253681667464,43.31776734085605,39.72560908229923,42.40845333529268,42.113951387522604,39.85716834389092,39.68074145050349,38.41338448933334,40.24911984058127,38.34695618752511,39.89192784386046,41.59457642935007,39.46157176601656,39.39514054872677,42.23147682529418,38.91522071017391,40.81620358979353,28.93862906177918,0.002,0.004,0.001,0.005,0.067,0.035,18.69489081828027,28.93862906177918,2025-04-17T11:15:54
40.60606872524153,43.804538659723164,42.66711434897826,39.69686643167023,42.048069717527085,43.236701499361516,39.68693400511859,42.32701130490784,42.03342695813751,39.81859029505068,39.642330541355534,38.37372499130419,40.16769275870473,38.30754427036226,39.78540490982232,41.55572770598633,39.387022146083154,39.321859429458186,42.15212430235613,38.87694282248884,40.738327341571846,28.93862906177918,0.001,0.017,0.059,0.061,0.088,0.051,18.594769876449845,28.93862906177918,2025-04-17T11:15:54
40.566684932837916,43.724507403770076,42.62717654370755,39.65648512982489,42.00941700979712,43.19617465952382,39.68693400511859,42.24556434642403,41.9529230582753,39.741433117831605,39.60392426511004,38.29440826998484,40.08624046119945,38.228725594385594,39.74990287720129,41.47806367189162,39.34974772033047,39.24858672213071,42.07278018095093,38.838667572284066,40.69938753603304,28.93862906177918,0.001,0.045,0.176,0.172,0.132,0.068,18.49466414275315,28.93862906177918,2025-04-17T11:15:55
40.566684932837916,43.764521529901174,42.54731122931349,39.61610221754813,42.00941700979712,43.15565182440275,39.64826010091002,42.24556434642403,41.91267871388959,39.702853919919676,39.56552258621991,38.254750973549335,40.08624046119945,38.18931876272541,39.74990287720129,41.40044393425006,39.27519946915919,39.21195343967605,42.033111181697905,38.76212484402902,40.66044656337493,28.93862906177918,0.001,0.074,0.29,0.286,0.175,0.086,18.544715131043695,28.93862906177918,2025-04-17T11:15:55
40.566684932837916,43.84455882914472,42.54731122931349,39.57571765844631,42.08672009199415,43.19617465952382,39.64826010091002,42.24556434642403,41.9529230582753,39.702853919919676,39.60392426511004,38.2150943378162,40.08624046119945,38.18931876272541,39.8209097269592,41.43924828502526,39.23792557648056,39.24858672213071,41.99344417588003,38.76212484402902,40.62150438895668,28.93862906177918,0.001,0.103,0.409,0.397,0.218,0.103,18.644828423887347,28.93862906177918,2025-04-17T11:15:55
40.64545186913426,43.96463793419605,42.54731122931349,39.53533141610967,42.24129892798595,43.31776734085605,39.64826010091002,42.36773291837375,41.993172460624066,39.66427426943312,39.642330541355534,38.254750973549335,40.08624046119945,38.18931876272541,39.9274412081765,41.47806367189162,39.200651794220505,39.28522204095549,41.99344417588003,38.72385729583584,40.66044656337493,28.93862906177918,0.002,0.132,0.525,0.509,0.262,0.121,18.795027327673793,28.93862906177918,2025-04-17T11:15:56
40.76359776289803,44.24493560636222,42.58724218256924,39.53533141610967,42.395843113118644,43.47994870533512,39.609587334475634,42.48989072133577,42.073686588028636,39.66427426943312,39.7960023309534,38.254750973549335,40.20840943348304,38.18931876272541,40.1761181482625,41.59457642935007,39.23792557648056,39.4317843461086,42.07278018095093,38.72385729583584,40.69938753603304,28.89829061634424,0.002,0.148,0.584,0.567,0.284,0.122,19.196089555423086,28.89829061634424,2025-04-17T11:15:56
40.96049791008045,44.56548263088291,42.66711434897826,39.57571765844631,42.66621849755944,43.682771613438774,39.609587334475634,42.69346572810798,42.275063026455825,39.702853919919676,39.988199776524766,38.33406626371061,40.330521996446635,38.228725594385594,40.4249489375955,41.75008358821384,39.23792557648056,39.57838189783462,42.1917994958078,38.76212484402902,40.777266014619784,28.89829061634424,0.002,0.148,0.584,0.568,0.285,0.123,19.59704034260985,28.89829061634424,2025-04-17T11:15:56
41.11801185801505,44.926383796900495,42.74700043694975,39.57571765844631,42.97511171490822,43.96691155405517,39.64826010091002,42.93772599195057,42.476573363381874,39.741433117831605,40.25748523383862,38.41338448933334,40.45257912621457,38.34695618752511,40.74511816172321,41.94472300298713,39.27519946915919,39.76168165087563,42.35052198650453,38.80039492448793,40.93301007405887,28.97895830861563,0.002,0.149,0.586,0.567,0.285,0.124,19.947565611289633,28.97895830861563,2025-04-17T11:15:57
41.35427777879761,45.28761289948528,42.86685630654131,39.65648512982489,43.28390690221681,44.25128218330059,39.72560908229923,43.181961021367556,42.678222264824456,39.741433117831605,40.52702563338892,38.57203091682146,40.61523741868507,38.465202692659204,41.02996103302587,42.100641901943845,39.34974772033047,39.94504397265945,42.469587655667624,38.838667572284066,41.08873878089099,28.97895830861563,0.002,0.148,0.584,0.569,0.286,0.125,20.39940288306812,28.97895830861563,2025-04-17T11:15:57
41.59054445048321,45.609002093999266,42.9867451321922,39.61610221754813,43.59262106997073,44.454552359535114,39.764285367644675,43.46688017194623,42.92039043455685,39.81859029505068,40.83539970648201,38.73069259424204,40.81842763831929,38.66231823050674,41.350709809731484,42.29580378357622,39.42429681677464,40.12847302949376,42.628375446853624,38.91522071017391,41.205526565896264,29.019278402276143,0.002,0.149,0.585,0.571,0.286,0.125,20.75097338168556,29.019278402276143,2025-04-17T11:15:57
41.86619997173318,45.97092278311044,43.06668980897712,39.65648512982489,43.93984879933771,44.780054606721706,39.84164170357576,43.75178745650521,43.122360646751076,39.89574607922327,41.06692032743473,38.88937185758857,40.98087648996113,38.82004750652618,41.63610544743659,42.491262695041144,39.49884702741326,40.348681857204156,42.826917341518595,38.991784538274146,41.361233723788075,29.059589388109373,0.001,0.147,0.584,0.57,0.286,0.126,21.153253402500013,29.059589388109373,2025-04-17T11:15:58
42.1024942883073,46.25269494947764,43.18663574028693,39.73724615946122,44.248447124799725,45.02440927746778,39.919003294357594,44.03669495982598,43.32448441715513,39.93432353578885,41.33729923327047,39.087749222459365,41.22438290976038,39.05670828426696,41.921787326864376,42.68702350459017,39.573398621054935,40.532272407544895,42.9460746745159,39.03007054883557,41.47800788219013,29.140184217320268,0.002,0.148,0.585,0.568,0.286,0.125,21.40489264893374,29.140184217320268,2025-04-17T11:15:58
42.33881335593617,46.534724381541366,43.30661724347419,39.81800103830807,44.51844705880825,45.30974864329346,39.99637042136584,44.2809107182112,43.526766453122036,40.011477751535665,41.60798231056202,39.325849557510764,41.427156856709416,39.293456276412144,42.20777223645962,42.883091106721054,39.68522919240587,40.752687146309654,43.06525733301777,39.14494538746396,41.67262240610131,29.140184217320268,0.002,0.146,0.586,0.57,0.286,0.124,21.757664361492527,29.140184217320268,2025-04-17T11:15:59
42.575164740716446,46.7766782126734,43.426635300828025,39.85837626203835,44.749867053612604,45.55455645505987,40.07374336591204,44.52514310782425,43.7292114735028,40.08863126886774,41.87898195693083,39.52431142360558,41.629800911529514,39.49081855364523,42.49407702590861,43.15811053689953,39.72250703205424,40.936459397479666,43.22420860685543,39.22154296977919,41.82830833642328,29.180468151028776,0.003,0.148,0.586,0.568,0.286,0.124,22.00991971854894,29.180468151028776,2025-04-17T11:15:59
42.772154370742726,47.09960552113324,43.54669089545155,39.97949350617654,45.019857113771764,45.758732220361196,40.18981430584404,44.76939972557051,43.85075868581794,40.12720785238014,42.15031061270224,39.72281897662856,41.87280851928125,39.68825138670405,42.744869415191886,43.35493457343364,39.797064386518855,41.1203209316547,43.383208906483105,39.298152364768384,42.02291224766469,29.22074315757203,0.003,0.146,0.586,0.566,0.286,0.124,22.36347053725664,29.22074315757203,2025-04-17T11:15:59
42.969176070133244,47.34205302298017,43.66678501130991,40.01986323281653,45.25128536667745,46.003953319001994,40.26720302461041,45.01368816732435,44.0940383403796,40.20436084252373,42.421980764217324,39.961094745745015,42.11564300218845,39.925270313109934,42.96004817876633,43.55208224952622,39.87162419821175,41.30427593806553,43.54226052136141,39.33646157972868,42.17859525419891,29.261009281934378,0.003,0.147,0.586,0.569,0.288,0.124,22.61636567043768,29.261009281934378,2025-04-17T11:16:00
43.205650600530475,47.544264096576455,43.78691863327782,40.06023167585528,45.48272870667353,46.2494114476325,40.3445985450914,45.21729165908437,44.29696492721126,40.28151382795954,42.65512219768709,40.119989320297975,42.2774402050012,40.12287435234066,43.21134967129416,43.71003678216738,39.94618673546637,41.488328611609575,43.701365742831115,39.451407715555774,42.334280531356285,29.261009281934378,0.003,0.145,0.586,0.57,0.289,0.124,22.869297948494374,29.261009281934378,2025-04-17T11:16:00
43.3633331758823,47.82763091806339,43.907092747186994,40.14096485607166,45.71419425482918,46.4541468868253,40.460705193926344,45.461658175347054,44.500072546300146,40.35866708593295,42.92745985338394,40.31866119551904,42.52000290141416,40.28101862914423,43.39102791952297,43.907779675727966,40.05803623856565,41.63564389371544,43.90032614802942,39.52805423285554,42.45104729981864,29.261009281934378,0.003,0.145,0.586,0.569,0.29,0.124,23.223742511839447,29.261009281934378,2025-04-17T11:16:00
43.56047733252643,48.07077747556815,43.98723180593345,40.221693336568876,45.94568913364725,46.65905741982908,40.57682872768072,45.665337371657586,44.703365980666945,40.47439809006471,43.161192072049744,40.477644454995755,42.722021237148,40.439219689003664,43.606843360875814,44.02658721406675,40.13260676318731,41.783026525462674,44.059560373119325,39.60471368584439,42.56781750585088,29.341515063694942,0.001,0.144,0.586,0.572,0.291,0.123,23.42717895665066,29.341515063694942,2025-04-17T11:16:01
43.75767106027246,48.273589651696284,44.10747559990028,40.26205590490645,46.13862907844549,46.86414783983349,40.654254265752854,45.86905801916407,44.906850028590156,40.55155324151377,43.39520959501789,40.636670908243275,42.92393759850188,40.637054411094994,43.822885539721426,44.145517449077886,40.2444695041724,41.93047866390555,44.179025992526306,39.71972773420015,42.68459207475439,29.341515063694942,0.001,0.144,0.586,0.574,0.291,0.123,23.680863113573437,29.341515063694942,2025-04-17T11:16:01
43.99437513267736,48.47657963575489,44.22776251973664,40.30241740686728,46.33159846532561,47.02835292601901,40.77040804875759,46.11358371223935,45.0697777432772,40.66728838380163,43.590447927072944,40.79574288058268,43.08540016248662,40.79539174502747,44.00309916050753,44.3042838682029,40.31904969172223,42.07800246925433,44.258689302141875,39.7964207554312,42.8013719315656,29.381754810704535,0.001,0.145,0.585,0.572,0.29,0.122,23.884436476193816,29.381754810704535,2025-04-17T11:16:01
44.112758667473145,48.67975217157834,44.30797824716177,40.34277787860782,46.52460142233599,47.19267868820077,40.847854631166115,46.2766412854491,45.232833003884934,40.74444715892071,43.825009376545324,40.99465040043748,43.28714382159046,40.9934041814019,44.21957602134552,44.42350470097995,40.39363421340789,42.22560010506214,44.37821433125106,39.873127695749815,42.95708823136812,29.381754810704535,0.001,0.146,0.586,0.572,0.29,0.123,24.138571382905106,29.381754810704535,2025-04-17T11:16:02
